Name,Link
b complex-100 tablet, extended release (OTC),https://www.webmd.com/drugs/2/drug-58489-6106/b-complex-100-tablet-er/details
b complex-150 tablet, extended release (OTC),https://www.webmd.com/drugs/2/drug-58518-6106/b-complex-150-tablet-er/details
b complex-50 tablet (OTC),https://www.webmd.com/drugs/2/drug-58488-6106/b-complex-50-tablet/details
b complex-b12 tr tablet, extended release (OTC),https://www.webmd.com/drugs/2/drug-1979-6106/b-complex-b12-tr-tablet-er/details
b complex-biotin-fa tablet (OTC),https://www.webmd.com/drugs/2/drug-1090-6106/b-complex-biotin-fa-tablet/details
b complex-c capsule (),https://www.webmd.com/drugs/2/drug-335-9038/b-complex-c-capsule/details
b complex-c stress formula tablet (OTC),https://www.webmd.com/drugs/2/drug-58649-9038/b-complex-c-stress-formula-tablet/details
b complex-c tablet, extended release (),https://www.webmd.com/drugs/2/drug-335-6106/b-complex-c-tablet-er/details
b complex-c-e tablet (),https://www.webmd.com/drugs/2/drug-1981-9038/b-complex-c-e-tablet/details
b complex-c-e-fa-zn-minerals tablet (OTC),https://www.webmd.com/drugs/2/drug-63454-6106/b-complex-c-e-fa-zn-minerals-tablet/details
b complex-c-e-zn tablet (OTC),https://www.webmd.com/drugs/2/drug-244-6106/b-complex-c-e-zn-tablet/details
b complex-c-folic acid-zn tablet (),https://www.webmd.com/drugs/2/drug-20591-6106/b-complex-c-folic-acid-zn-tablet/details
b complex-c-iron-vit e-fa tablet (OTC),https://www.webmd.com/drugs/2/drug-63489-280/b-complex-c-iron-vit-e-fa-tablet/details
b complex-c-min-fe-fa liquid (),https://www.webmd.com/drugs/2/drug-18715-280/b-complex-c-min-fe-fa-liquid/details
b complex-c-min-fe-fa tablet (),https://www.webmd.com/drugs/2/drug-18715-9038/b-complex-c-min-fe-fa-tablet/details
b complex-lysine liquid (),https://www.webmd.com/drugs/2/drug-32634-6106/b-complex-lysine-liquid/details
b complex/c-ssf capsule (OTC),https://www.webmd.com/drugs/2/drug-19517-9038/b-complex-c-ssf-capsule/details
b complx-c-folic-zinc-copper-e tablet (),https://www.webmd.com/drugs/2/drug-173531-6106/b-complx-c-folic-zinc-copper-e-tablet/details
b infan-b long-l acid-l rhamn capsule, sprinkle (),https://www.webmd.com/drugs/2/drug-163929-1275/b-infan-b-long-l-acid-l-rhamn-capsule-sprinkle/details
b-1 solution (RX),https://www.webmd.com/drugs/2/drug-58172-9131/b-1-solution/details
b-1 tablet (),https://www.webmd.com/drugs/2/drug-58166-131/b-1-tablet/details
b-100 balanced tablet (OTC),https://www.webmd.com/drugs/2/drug-21684-6106/b-100-balanced-tablet/details
b-100 complex (),https://www.webmd.com/drugs/2/drug-10550-6106/b-100-complex/details
b-100 complex cr tablet, extended release (OTC),https://www.webmd.com/drugs/2/drug-18215-6106/b-100-complex-cr-tablet-er/details
b-100 complex tablet, extended release (),https://www.webmd.com/drugs/2/drug-58467-6106/b-100-complex/details
b-100 tablet (OTC),https://www.webmd.com/drugs/2/drug-11839-6106/b-100-tablet/details
b-100/fa cr tablet, extended release (OTC),https://www.webmd.com/drugs/2/drug-1963-6106/b-100-fa-cr-tablet-er/details
b-12 compliance kit (RX),https://www.webmd.com/drugs/2/drug-170605-2038/b-12-compliance-kit/details
b-12 dots (),https://www.webmd.com/drugs/2/drug-150859-1249/b-12-dots/details
b-12 kit 1,000 mcg/ml injection (RX),https://www.webmd.com/drugs/2/drug-171554-2038/b-12-kit/details
b-12 plus solution (RX),https://www.webmd.com/drugs/2/drug-60331-2038/b-12-plus-solution/details
b-12 tablet (),https://www.webmd.com/drugs/2/drug-60300-1249/b-12-tablet/details
b-150 tablet (OTC),https://www.webmd.com/drugs/2/drug-58508-6106/b-150-tablet/details
b-2 tablet (),https://www.webmd.com/drugs/2/drug-58173-1782/b-2-tablet/details
b-25 complex capsule (OTC),https://www.webmd.com/drugs/2/drug-58438-6106/b-25-complex-capsule/details
b-3 niacin tablet (OTC),https://www.webmd.com/drugs/2/drug-58189-126/b-3-niacin-tablet/details
b-3-50 tablet (OTC),https://www.webmd.com/drugs/2/drug-12083-126/b-3-tablet/details
b-50 balanced tablet (OTC),https://www.webmd.com/drugs/2/drug-21683-6106/b-50-balanced-tablet/details
b-50 complex (),https://www.webmd.com/drugs/2/drug-104-6106/b-50-complex/details
b-50 complex capsule (OTC),https://www.webmd.com/drugs/2/drug-8418-6106/b-50-complex/details
b-50 complex/vitamin c tablet (),https://www.webmd.com/drugs/2/drug-1964-9038/b-50-complex-vitamin-c-tablet/details
b-50 gel capsule (OTC),https://www.webmd.com/drugs/2/drug-58447-6106/b-50-gel-capsule/details
b-50 tablet (OTC),https://www.webmd.com/drugs/2/drug-10581-6106/b-50-tablet/details
b-6-500 capsule (OTC),https://www.webmd.com/drugs/2/drug-4338-127/b-6-capsule/details
b-between capsule (OTC),https://www.webmd.com/drugs/2/drug-58611-9038/b-between-capsule/details
b-c vite tablet (OTC),https://www.webmd.com/drugs/2/drug-10549-9038/b-c-vite-tablet/details
b-c-300 capsule (OTC),https://www.webmd.com/drugs/2/drug-58565-9038/b-c-300-capsule/details
b-c-bid capsule, extended release (OTC),https://www.webmd.com/drugs/2/drug-58638-6106/b-c-bid-capsule-er/details
b-c-e and zinc tablet (OTC),https://www.webmd.com/drugs/2/drug-58734-9038/b-c-e-and-zinc-tablet/details
b-c/folic acid plus tablet (RX),https://www.webmd.com/drugs/2/drug-1965-9038/b-c-folic-acid-plus-tablet/details
b-compleet w/vitamin c tablet (OTC),https://www.webmd.com/drugs/2/drug-58650-9038/b-compleet-w-vitamin-c-tablet/details
b-compleet-100 tablet (OTC),https://www.webmd.com/drugs/2/drug-58479-6106/b-compleet-100-tablet/details
b-compleet-50 tablet (OTC),https://www.webmd.com/drugs/2/drug-58478-6106/b-compleet-50-tablet/details
b-complex and b-12 tablet (),https://www.webmd.com/drugs/2/drug-58494-6106/b-complex-and-b-12-tablet/details
b-complex and c capsule (),https://www.webmd.com/drugs/2/drug-58622-9038/b-complex-and-c-capsule/details
b-complex therapeutic w/b-12 capsule (OTC),https://www.webmd.com/drugs/2/drug-58449-6106/b-complex-therapeutic-w-b-12-capsule/details
b-complex w/b-12 tablet (),https://www.webmd.com/drugs/2/drug-58496-6106/b-complex-w-b-12-tablet/details
b-complex w/c capsule (),https://www.webmd.com/drugs/2/drug-58588-9038/b-complex-w-c-capsule/details
b-complex w/c tablet, extended release (),https://www.webmd.com/drugs/2/drug-58588-6106/b-complex-w-c-tablet-er/details
b-complex w/vitamin b-12 tablet (),https://www.webmd.com/drugs/2/drug-58454-6106/b-complex-w-vitamin-b-12-tablet/details
b-complex with vitamin c (),https://www.webmd.com/drugs/2/drug-1982-6106/b-complex-with-vitamin-c/details
b-complex-plus tablet (OTC),https://www.webmd.com/drugs/2/drug-58662-9038/b-complex-plus-tablet/details
b-complex/c capsule (),https://www.webmd.com/drugs/2/drug-58620-9038/b-complex-c-capsule/details
b-donna 16.2 mg-0.1037 mg-0.0194 mg tablet (RX),https://www.webmd.com/drugs/2/drug-170737-845/b-donna/details
b-e-c and z tablet (OTC),https://www.webmd.com/drugs/2/drug-59241-9038/b-e-c-and-z-tablet/details
b-fedrine capsule, extended release (RX),https://www.webmd.com/drugs/2/drug-19381-9012/b-fedrine-capsule-er/details
b-fedrine pd capsule, extended release (RX),https://www.webmd.com/drugs/2/drug-54478-9012/b-fedrine-pd-capsule-er/details
b-plex 15 mg-100 mg-4 mg-500mg-0.5mg tablet (RX),https://www.webmd.com/drugs/2/drug-5163-9038/b-plex-tablet/details
b-plex plus tablet (RX),https://www.webmd.com/drugs/2/drug-11131-9038/b-plex-plus-tablet/details
b-plex tablet (RX),https://www.webmd.com/drugs/2/drug-5163-6106/b-plex-tablet/details
b-plex with vitamin c tablet (RX),https://www.webmd.com/drugs/2/drug-153683-9038/b-plex-with-vitamin-c-tablet/details
b-scorbic tablet (OTC),https://www.webmd.com/drugs/2/drug-9968-9038/b-scorbic-tablet/details
b-stress (),https://www.webmd.com/drugs/2/drug-12075-6106/b-stress/details
b-sure 50 % topical pads astringents (OTC),https://www.webmd.com/drugs/2/drug-182712-1314/b-sure-pads-medicated/details
b-tuss liquid (RX),https://www.webmd.com/drugs/2/drug-20360-3172/b-tuss-liquid/details
b-vex d suspension (RX),https://www.webmd.com/drugs/2/drug-144363-9012/b-vex-d-suspension/details
b-vex pd suspension (RX),https://www.webmd.com/drugs/2/drug-149588-9012/b-vex-pd-suspension/details
b-vitamins w/c capsule (OTC),https://www.webmd.com/drugs/2/drug-58573-9038/b-vitamins-w-c-capsule/details
b-vite tablet (OTC),https://www.webmd.com/drugs/2/drug-58469-6106/b-vite-tablet/details
b/c complex capsule (),https://www.webmd.com/drugs/2/drug-10651-9038/b-c-complex-capsule/details
bacitracin zinc 500 unit-polymyxin b 10,000 unit/gram topical ointment (OTC),https://www.webmd.com/drugs/2/drug-78579-7125/bacitracin-zinc-polymyxin-b-ointment/details
bacitracin-polymyxin b (ophth) ointment (RX),https://www.webmd.com/drugs/2/drug-16280-782/bacitracin-polymyxin-b-ophth-ointment/details
bacitracin-polymyxin b 500 unit-10,000 unit/gram eye ointment (RX),https://www.webmd.com/drugs/2/drug-2052-782/bacitracin-polymyxin-ointment/details
bacitracin-polymyxin b powder (RX/OTC),https://www.webmd.com/drugs/2/drug-8738-7125/bacitracin-polymyxin-b-powder/details
bacitracin-polymyxin b topical ointment (RX/OTC),https://www.webmd.com/drugs/2/drug-2051-7125/bacitracin-polymyxin-ointment/details
bal b-100 tablet (),https://www.webmd.com/drugs/2/drug-58502-6106/bal-b-100/details
bal b-50 tablet (),https://www.webmd.com/drugs/2/drug-58503-6106/bal-b-50/details
balance b 100 tablet, extended release (RX/OTC),https://www.webmd.com/drugs/2/drug-58516-6106/balance-b-100-tablet-er/details
balance b tablet, extended release (OTC),https://www.webmd.com/drugs/2/drug-58515-6106/balance-b-tablet-er/details
balance b-100 (with folic acid) 0.4 mg tablet multivitamins (),https://www.webmd.com/drugs/2/drug-178012-6106/balance-b-100/details
balance b-100 tablet (RX/OTC),https://www.webmd.com/drugs/2/drug-9873-6106/balance-b-100/details
balance b-150 tablet (OTC),https://www.webmd.com/drugs/2/drug-58481-6106/balance-b-150-tablet/details
balance b-50 (with folic acid) 0.4 mg tablet multivitamins (),https://www.webmd.com/drugs/2/drug-178011-6106/balance-b-50/details
balance b-50 complex tablet (OTC),https://www.webmd.com/drugs/2/drug-58509-6106/balance-b-50-complex-tablet/details
balance b-50 tablet (RX/OTC),https://www.webmd.com/drugs/2/drug-9874-6106/balance-b-50/details
balance-b capsule (OTC),https://www.webmd.com/drugs/2/drug-58445-6106/balance-b-capsule/details
balanced b complex 100 tablet (OTC),https://www.webmd.com/drugs/2/drug-14743-6106/balanced-b-complex-100-tablet/details
balanced b complex 50 tablet (OTC),https://www.webmd.com/drugs/2/drug-14749-6106/balanced-b-complex-50-tablet/details
balanced b complex cr tablet, extended release (),https://www.webmd.com/drugs/2/drug-17753-6106/balanced-b-complex-cr-tablet-er/details
balanced b complex tablet (OTC),https://www.webmd.com/drugs/2/drug-16929-6106/balanced-b-complex-tablet/details
balanced b tablet (OTC),https://www.webmd.com/drugs/2/drug-58477-6106/balanced-b-tablet/details
balanced b-100 (),https://www.webmd.com/drugs/2/drug-3813-6106/balanced-b-100/details
balanced b-100 complex cr tablet, extended release (),https://www.webmd.com/drugs/2/drug-17813-6106/balanced-b-100-complex-cr-tablet-er/details
balanced b-150 (OTC),https://www.webmd.com/drugs/2/drug-10572-6106/balanced-b-150/details
balanced b-150 complex tr tablet, extended release (OTC),https://www.webmd.com/drugs/2/drug-17812-6106/balanced-b-150-complex-tr-tablet-er/details
balanced b-50 complex (with folic acid) 50 mcg tablet multivitamins (),https://www.webmd.com/drugs/2/drug-178124-6106/balanced-b-50-complex/details
balanced b-50 complex tablet (RX/OTC),https://www.webmd.com/drugs/2/drug-17811-6106/balanced-b-50/details
balanced b-50 complex tr tablet, extended release (OTC),https://www.webmd.com/drugs/2/drug-10615-6106/balanced-b-50-complex-tr-tablet-er/details
balanced b-50 tablet (),https://www.webmd.com/drugs/2/drug-3814-6106/balanced-b-50/details
balanced b-50 tr tablet, extended release (),https://www.webmd.com/drugs/2/drug-12228-6106/balanced-b-50-tr-tablet-er/details
bayhep b neonatal syringe (RX),https://www.webmd.com/drugs/2/drug-148211-1178/bayhep-b-neonatal-syringe/details
bayhep b syringe (RX),https://www.webmd.com/drugs/2/drug-148210-1178/bayhep-b-syringe/details
better b complex tablet (OTC),https://www.webmd.com/drugs/2/drug-58498-6106/better-b-complex-tablet/details
bio t pres-b 4 mg-10 mg-20 mg/5 ml oral liquid (OTC),https://www.webmd.com/drugs/2/drug-164966-4172/bio-t-pres-b/details
bio-b 100 tablet, extended release (OTC),https://www.webmd.com/drugs/2/drug-58514-6106/bio-b-100-tablet-er/details
bio-b kids 4 mg-10 mg-15 mg/5 ml oral liquid (OTC),https://www.webmd.com/drugs/2/drug-155979-4172/bio-b-kids/details
c-b vone capsule (OTC),https://www.webmd.com/drugs/2/drug-58556-9038/c-b-vone-capsule/details
carnate b capsule (RX),https://www.webmd.com/drugs/2/drug-59574-9038/carnate-b-capsule/details
chewables multivitamins-a,b,d,e,k,zn 1,000 unit-800 mcg tablet (),https://www.webmd.com/drugs/2/drug-165407-5249/multivitamins-a-b-d-e-k-zn/details
citranatal b-calm (),https://www.webmd.com/drugs/2/drug-161007-280/citranatal-b-calm/details
citranatal b-calm tablet, sequential (RX),https://www.webmd.com/drugs/2/drug-153509-280/citranatal-b-calm-tablet-sequential/details
complex b cream (RX),https://www.webmd.com/drugs/2/drug-61892-9198/complex-b-cream/details
complex b-100 (),https://www.webmd.com/drugs/2/drug-9889-6106/complex-b-100/details
cortane-b lotion (RX),https://www.webmd.com/drugs/2/drug-7234-2196/cortane-b-lotion/details
crystal b-12 solution (RX),https://www.webmd.com/drugs/2/drug-9099-2038/crystal-b-12-solution/details
cvs vitamin b-6 tablet (),https://www.webmd.com/drugs/2/drug-17825-127/cvs-vitamin-b-6-tablet/details
cyanocobalamin (vit b-12) 1,000 mcg/ml injection solution (RX),https://www.webmd.com/drugs/2/drug-4271-2038/cyanocobalamin-vial/details
cyanocobalamin (vit b-12) 500 mcg/spray nasal spray cobalamines (RX),https://www.webmd.com/drugs/2/drug-4390-9288/cyanocobalamin-vitamin-b-12-gel/details
econo b and c capsule (OTC),https://www.webmd.com/drugs/2/drug-58599-9038/econo-b-and-c-capsule/details
econo b/c tablet (OTC),https://www.webmd.com/drugs/2/drug-19004-9038/econo-b-c-tablet/details
endur-b complex (),https://www.webmd.com/drugs/2/drug-174169-6106/endur-b-complex/details
engerix-b (hepatitis b)vaccine injectable (RX),https://www.webmd.com/drugs/2/drug-9161-8157/engerix-b-hepatitis-bvaccine-injectable/details
engerix-b (hepatitis b)vaccine syringe (RX),https://www.webmd.com/drugs/2/drug-18629-8157/engerix-b-hepatitis-bvaccine-syringe/details
engerix-b adult vial (RX),https://www.webmd.com/drugs/2/drug-148039-8157/engerix-b-adult-vial/details
engerix-b pediatric-adolescent vial (RX),https://www.webmd.com/drugs/2/drug-164737-8157/engerix-b-pediatric-adolescent-vial/details
entre-b suspension (RX/OTC),https://www.webmd.com/drugs/2/drug-153810-9012/entre-b-suspension/details
fa-b cmp,c-rice bran-rose hips tablet (),https://www.webmd.com/drugs/2/drug-149574-6106/fa-b-cmp-c-rice-bran-rose-hips-tablet/details
fero-vita b-12 forte solution (RX),https://www.webmd.com/drugs/2/drug-60336-2038/fero-vita-b-12-forte-solution/details
ferrous sulf-fa-vit b, c #8 tablet, extended release multiphase (tablet, er multiphase) (RX),https://www.webmd.com/drugs/2/drug-150839-280/ferrous-sulf-fa-vit-b-c-8-tablet-multiphase-tablet-er-multiphase/details
folic acid-b cplx-c-selen-zinc tablet (),https://www.webmd.com/drugs/2/drug-89459-6106/folic-acid-b-cplx-c-selen-zinc-tablet/details
formula b plus tablet (RX),https://www.webmd.com/drugs/2/drug-3620-9038/formula-b-plus-tablet/details
formula b tablet (RX),https://www.webmd.com/drugs/2/drug-3601-6106/formula-b-tablet/details
formula-b tablet (RX),https://www.webmd.com/drugs/2/drug-58648-9038/formula-b-tablet/details
formula-b with vitamin c tablet (RX),https://www.webmd.com/drugs/2/drug-153678-9038/formula-b-with-vitamin-c-tablet/details
full spectrum b (),https://www.webmd.com/drugs/2/drug-91286-6106/full-spectrum-b/details
fv b complex/c tablet (),https://www.webmd.com/drugs/2/drug-18953-9038/fv-b-complex-c-tablet/details
fv balanced b-100 tr tablet, extended release (),https://www.webmd.com/drugs/2/drug-10655-6106/fv-balanced-b-100-tr-tablet-er/details
fv balanced b-50 tr tablet, extended release (),https://www.webmd.com/drugs/2/drug-10654-6106/fv-balanced-b-50-tr-tablet-er/details
fv super b complex/vitamin c tablet (),https://www.webmd.com/drugs/2/drug-2406-9038/fv-super-b-complex-vitamin-c-tablet/details
fv vitamin b-1 tablet (),https://www.webmd.com/drugs/2/drug-10905-131/fv-vitamin-b-1-tablet/details
fv vitamin b-12 tablet (),https://www.webmd.com/drugs/2/drug-10907-1249/fv-vitamin-b-12-tablet/details
fv vitamin b-12 tr tablet, extended release (),https://www.webmd.com/drugs/2/drug-10909-1249/fv-vitamin-b-12-tr-tablet-er/details
fv vitamin b-6 tablet (),https://www.webmd.com/drugs/2/drug-10911-127/fv-vitamin-b-6-tablet/details
fv vitamin b-6 tr tablet, extended release (),https://www.webmd.com/drugs/2/drug-11302-127/fv-vitamin-b-6-tr-tablet-er/details
fviii rec,b-dom delet peg-aucl solution, reconstituted (recon soln) (RX),https://www.webmd.com/drugs/2/drug-175995-6246/fviii-rec-b-dom-delet-peg-aucl-solution-reconstituted-recon-soln/details
generic b w/c capsule (OTC),https://www.webmd.com/drugs/2/drug-58597-9038/generic-b-w-c-capsule/details
haemoph b poly conj-tet tox-pf solution, reconstituted (recon soln) (RX),https://www.webmd.com/drugs/2/drug-149937-477/haemoph-b-poly-conj-tet-tox-pf-solution-reconstituted-recon-soln/details
haemophilus b conj-mening vac solution (RX),https://www.webmd.com/drugs/2/drug-91462-477/haemophilus-b-conj-mening-vac-solution/details
haemophilus b conj-tet tox vac solution, reconstituted (recon soln) (RX),https://www.webmd.com/drugs/2/drug-91461-477/haemophilus-b-conj-tet-tox-vac-solution-reconstituted-recon-soln/details
haemophilus b oligos-dipht vac solution (RX),https://www.webmd.com/drugs/2/drug-21660-477/haemophilus-b-oligos-dipht-vac-solution/details
haemophilus b polysac conj vac solution (RX),https://www.webmd.com/drugs/2/drug-5924-477/haemophilus-b-polysac-conj-vac-solution/details
haemph b polysac conj-menin pf solution (RX),https://www.webmd.com/drugs/2/drug-149997-477/haemph-b-polysac-conj-menin-pf-solution/details
hep b-dp(a)t-polio vac (pf) suspension (RX),https://www.webmd.com/drugs/2/drug-148325-1190/hep-b-dpat-polio-vac-pf-suspension/details
hep-b-gammagee injectable (RX),https://www.webmd.com/drugs/2/drug-52868-1178/hep-b-gammagee-injectable/details
hepagam b vial (RX),https://www.webmd.com/drugs/2/drug-144114-1178/hepagam-b-vial/details
hepatitis a and b vaccine (pf) syringe (RX),https://www.webmd.com/drugs/2/drug-148595-6303/hepatitis-a-and-b-vaccine-pf-syringe/details
hepatitis a and b virus vaccin suspension (RX),https://www.webmd.com/drugs/2/drug-21046-6303/hepatitis-a-and-b-virus-vaccin-suspension/details
hepatitis b immun glob-maltose solution (RX),https://www.webmd.com/drugs/2/drug-144112-1178/hepatitis-b-immun-glob-maltose-solution/details
hepatitis b immune globulin syringe (RX),https://www.webmd.com/drugs/2/drug-5002-1178/hepatitis-b-immune-globulin-syringe/details
hepatitis b vacc-cpg 1018 (pf) solution (RX),https://www.webmd.com/drugs/2/drug-174425-8157/hepatitis-b-vacc-cpg-1018-pf-solution/details
hepatitis b virus vacc.rec(pf) suspension (RX),https://www.webmd.com/drugs/2/drug-148035-8157/hepatitis-b-virus-vacc-recpf-suspension/details
hepatitis b virus vaccine syringe (RX),https://www.webmd.com/drugs/2/drug-63870-8157/hepatitis-b-virus-vaccine-syringe/details
hepatitis b virus vaccine,recb injectable (RX),https://www.webmd.com/drugs/2/drug-7639-8157/hepatitis-b-virus-vaccine-recb-injectable/details
hepatitis b virus vaccine,recb suspension (RX),https://www.webmd.com/drugs/2/drug-18357-8157/hepatitis-b-virus-vaccine-recb-suspension/details
heplisav-b vial (RX),https://www.webmd.com/drugs/2/drug-174508-8157/heplisav-b-vial/details
hi b complex capsule (OTC),https://www.webmd.com/drugs/2/drug-58450-6106/hi-b-complex-capsule/details
hi b w/c 800 regular capsule (OTC),https://www.webmd.com/drugs/2/drug-58598-9038/hi-b-w-c-800-regular-capsule/details
hi potency b complex/c tablet (OTC),https://www.webmd.com/drugs/2/drug-2503-9038/hi-potency-b-complex-c-tablet/details
hi-b complex tablet (),https://www.webmd.com/drugs/2/drug-3828-6106/hi-b-complex/details
hi-b-12 tablet, extended release (OTC),https://www.webmd.com/drugs/2/drug-60303-1249/hi-b-12-tablet-er/details
hi-b-50 capsule (OTC),https://www.webmd.com/drugs/2/drug-58437-6106/hi-b-50-capsule/details
